NOMBRE,Dto.,TIPO,RENTA,SUPERFICIE,SUPERFICIE_RESIDENCIAL,DENSIDAD,DENSIDAD_NETA,PARADOS,EDAD_0_14,EDAD_15_24,EDAD_25_64,EDAD_MAYORES_65,NACIDOS_BCN,NACIDOS_RESTO_CAT,NACIDOS_RESTO_ESP,NACIDOS_EXT,NACIONALIDAD_ESP,NACIONALIDAD_EXT,FORMACION_TERCER_GRADO,Una mujer sola de 18 a 64 años,Un hombre solo de 18 a 64 años,Una mujer sola de 65 años y más,Un hombre solo de 65 años y más,Dos personas de 18 a 64 años,Dos personas de 65 años y más,"Dos personas, una de 18 a 64 años de edad y otra de 65 años y más","Dos personas o más, todas mayores de 18 años",Dos personas o más: una mujer de 18 años o más con otras menores de 18 años,Dos personas o más: un hombre de 18 años o más con otras menores de 18 años,Tres personas o más: dos de 18 años o más y el resto menores de 18 años,Otros domicilios con una o más personas menores de 18 años
Montbau,7,BARRIO,18383,"205,5","11,4",25,455,1268,"0,11","0,09","0,53","0,26","0,53","0,07","0,18","0,22","0,85","0,15","0,28",160,190,248,86,291,169,140,346,45,11,269,129
el Besòs i el Maresme,10,BARRIO,12981,"120,9","28,1",212,913,8569,"0,14","0,11","0,58","0,16","0,39","0,05","0,16","0,4","0,65","0,35","0,13",513,695,805,305,1058,653,519,1651,223,30,1097,959
la Guineueta,8,BARRIO,19093,"61,2",22,252,699,4884,"0,12","0,09","0,51","0,28","0,54","0,06","0,24","0,16","0,89","0,11","0,19",314,358,866,235,578,814,389,1180,142,33,841,409
Canyelles,8,BARRIO,17750,79,11,87,626,2382,"0,11","0,09","0,51","0,29","0,56","0,05","0,29","0,1","0,93","0,07","0,13",135,148,343,129,263,391,207,605,66,11,343,169
la Prosperitat,8,BARRIO,15948,"59,1","27,1",457,997,7598,"0,12","0,09","0,54","0,25","0,46","0,05","0,25","0,25","0,82","0,18","0,13",681,740,1279,448,1159,1234,650,1977,285,47,1326,891
Verdun,8,BARRIO,14490,"23,7","14,2",539,898,3960,"0,13","0,1","0,56","0,21","0,43","0,04","0,22","0,31","0,77","0,23","0,13",424,425,584,198,644,457,316,808,170,29,622,463
les Roquetes,8,BARRIO,13643,"64,3","18,3",255,897,5170,"0,15","0,11","0,57","0,17","0,44","0,04","0,2","0,32","0,75","0,25","0,1",375,486,517,162,752,531,327,1099,222,24,889,672
el Bon Pastor,9,BARRIO,15308,"186,8","17,8",73,766,3640,"0,17","0,11","0,56","0,16","0,52","0,07","0,14","0,27","0,79","0,21","0,14",234,371,390,122,502,357,257,819,154,28,841,433
la Trinitat Vella,9,BARRIO,12671,"80,8","12,7",130,826,4785,"0,17","0,11","0,57","0,15","0,39","0,04","0,17","0,4","0,68","0,32","0,1",202,333,246,96,396,267,165,668,118,20,540,510
"Vallvidrera, el Tibidabo i les Planes",5,BARRIO,25235,"1132,9",242,4,19,499,"0,18","0,12","0,55","0,15","0,62","0,09","0,09","0,2","0,84","0,16","0,43",115,132,106,45,180,97,78,331,57,18,336,163
